UID,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Target
50,S,26,38,42,2,,69,24,244367,24,0,idKr4Vcu,1,317,26,2,1
51,S,25,56,37,3,,68,85,STON/O2. 3101282,26,0,TxHOAdFA,0,3,7.925,1,1
52,S,53,64,65,2,,75,13,28664,34,0,gUAoWNWe,1,406,21,1,0
53,C,38,35,99,1,B57 B59 B63 B66,37,40,PC 17608,21,2,R8HoMVrZ,2,743,262.375,2,1
54,Q,78,49,59,3,,31,80,384461,,0,jD6G6cQS,0,261,7.75,1,0
55,C,67,41,39,3,,55,53,2626,,0,LLH2u9uE,0,368,7.2292,1,1
56,S,100,19,56,3,,15,26,315037,,0,uwSH1uv4,0,159,8.6625,1,0
57,S,90,68,84,3,,17,96,347085,22,0,wIGOhZmA,0,555,7.775,1,1
58,,36,-10,52,1,B28,60,30,113572,62,0,S2oeGPDn,0,830,80,2,1
59,S,49,39,32,3,,71,100,4138,18,0,Y8UdX1Aa,0,678,9.8417,2,1
60,C,93,3,55,1,,76,65,PC 17757,42,0,B0kWoD4Y,0,381,227.525,2,1
61,Q,65,28,73,2,,13,72,219533,57,0,hSzoNQka,0,627,12.35,1,0
62,S,102,60,71,3,,35,85,LINE,19,0,TqoPvk0o,0,303,0,2,0
63,S,56,56,27,2,,11,58,SC/AH 3085,42,0,B2w0aZVY,1,433,26,2,1
64,C,62,66,12,3,,21,76,2624,,0,GSpUEdqP,0,523,7.225,1,0
65,S,74,66,32,3,,42,67,315096,20,0,p7sRLr2w,0,405,8.6625,1,0
66,C,37,62,92,3,,56,31,2683,34.5,0,RfBa74JR,0,844,6.4375,1,0
67,S,51,14,68,3,,13,40,345783,28,0,FsUiH8rD,0,356,9.5,2,0
68,S,61,23,41,3,,48,71,A/S 2816,,0,G4k2PGCM,0,465,8.05,2,0
69,S,53,24,67,3,,67,74,349204,23,0,ohPtp9lc,0,754,7.8958,2,0
70,S,8,23,43,3,,74,22,A/5 21174,22,0,f8Xw8pOq,0,213,7.25,1,0
71,S,83,61,78,1,C104,75,2,113786,52,0,knq8h8RZ,0,450,30.5,1,1
72,S,96,20,69,3,,44,-5,364516,30,0,wufe7Ie4,0,80,12.475,2,1
73,S,65,56,17,2,F2,16,45,230080,36.5,2,efV9IVh2,0,149,26,2,0
74,Q,62,55,60,3,,64,29,364851,,0,CJ1Wz7QB,0,429,7.75,2,0
75,C,10,26,65,3,,30,79,2669,22,0,CAKwupDR,0,61,7.2292,1,0
76,S,53,64,76,1,,82,55,PC 17611,50,0,b6M1yx4D,2,661,133.65,2,1
77,S,79,69,-2,3,,50,37,347089,27,0,bVEXxin6,0,805,6.975,2,1
78,S,17,28,59,3,,15,29,14973,22,0,Bo6im1Br,0,589,8.05,1,0
79,S,50,55,53,1,D11,90,31,13502,51,0,39mz9SEw,1,766,77.9583,1,1
80,S,63,60,67,2,,75,76,C.A. 17248,36,0,601eVqSj,0,266,10.5,1,0
81,S,82,81,51,2,,57,46,228414,29,0,KrFz8deY,1,134,26,2,1
82,S,7,44,63,1,,71,24,113781,22,0,OtfviaBP,0,709,151.55,2,1
83,C,65,29,22,1,C86,46,26,PC 17761,50,0,MT1sp7Rq,1,545,106.425,1,0
84,S,22,42,60,2,,33,33,31418,40,0,cbXRN40T,0,347,13,2,1
85,S,69,90,19,3,,-1,61,315098,27,0,p3LTC2E0,0,822,8.6625,1,1
86,S,28,44,28,1,,27,19,112052,,0,o8wZx2wQ,0,634,0,1,0
87,S,38,63,35,1,E38,49,81,13509,65,0,Oqj4lmim,0,457,26.55,1,0
88,S,82,8,16,3,,66,74,315086,17,0,AGvduAtM,0,501,8.6625,2,0
89,S,10,57,90,1,C52,27,32,110564,28,0,HDxDCxeN,0,431,26.55,2,1
90,S,109,27,96,1,A34,11,56,33638,4,2,L59QfuXg,0,446,81.8583,1,1
91,S,55,-4,62,3,,58,24,349221,,0,LhVc4Qf4,0,651,7.8958,1,0
92,S,23,41,76,3,,33,66,347742,1,1,k1fMh6I2,1,173,11.1333,1,1
93,S,58,54,-3,2,,52,39,C.A. 34651,36,2,yKU3p4s5,1,451,27.75,1,0
94,S,126,30,25,2,,116,35,F.C.C. 13529,43,1,ixwn9RZ1,1,315,26.25,1,0
95,S,30,37,98,1,C91,69,54,PC 17582,38,1,I37Zb2QL,0,333,153.4625,2,0
96,S,75,20,66,2,,54,76,C.A. 31921,31,1,FzDRc2ZU,1,802,26.25,2,1
97,S,31,35,69,3,,29,57,343276,29,0,7dAgMCjB,0,91,8.05,1,0
98,S,63,50,54,3,,32,9,2223,18,0,XJ4XF2IK,0,835,8.3,1,0
99,C,11,51,52,2,,13,39,SC/PARIS 2131,,0,QVrMEGtb,0,182,15.05,2,0
100,C,26,99,27,1,C68,32,37,17421,39,1,3QhsYWea,1,582,110.8833,1,1
101,S,70,64,104,2,,35,69,28213,39,0,rmBAcdqC,0,796,13,2,0
102,S,61,51,37,3,,44,42,315151,26,0,gfpv1CGP,2,70,8.6625,2,0
103,S,14,50,45,3,,51,54,SOTON/O.Q. 3101307,20,0,XYZN5fCq,0,132,7.05,1,0
104,S,51,12,72,1,,68,31,PC 17611,,0,B22pnbCf,1,335,133.65,1,1
105,S,34,64,41,3,,67,46,LINE,49,0,rracDunU,0,598,0,1,0
106,C,84,40,62,2,,3,24,SC/PARIS 2133,23,0,9Ohv8051,0,136,15.0458,2,0
107,S,44,31,27,3,,92,80,3101295,1,1,u4JaNgqf,4,165,39.6875,1,0
108,Q,76,49,70,3,,36,95,330959,,0,7gHPgCpF,0,29,7.8792,2,1
109,S,77,18,69,3,,85,-4,W./C. 6607,,2,c8C5B4yH,1,784,23.45,1,0
110,S,61,99,71,2,F2,19,13,230080,3,1,KxZZgESK,1,194,26,2,1
111,S,53,33,55,3,,71,70,347742,4,1,PrvhR1Xl,1,870,11.1333,1,1
112,S,91,53,34,3,F G73,52,-3,348124,19,0,kWXaHy17,0,716,7.65,1,0
113,Q,78,57,36,3,,40,72,367232,40.5,0,dB3EqcBw,0,526,7.75,1,0
114,C,81,55,67,3,,67,65,2653,1,2,YthrNf39,0,382,15.7417,2,1
115,C,43,21,85,3,,33,57,2678,,2,KPy9uGBJ,0,141,15.2458,2,0
116,S,31,11,49,3,,39,63,STON/O 2. 3101280,21,0,jItrWpjo,0,174,7.925,2,0
117,S,72,72,61,1,E46,29,38,17463,54,0,07fQaYzm,0,7,51.8625,1,0
118,Q,24,63,56,3,,84,46,36568,,0,H2BqjVC0,0,719,15.5,2,0
119,C,29,91,29,2,,30,38,SC/Paris 2123,25,2,b9tPgFYE,1,686,41.5792,1,0
120,C,80,57,40,3,,42,49,2680,26,0,lOTJd4In,1,74,14.4542,1,0
121,S,13,13,17,3,,71,72,7552,22,0,KnI4qGpt,0,883,10.5167,1,0
122,S,40,-2,40,3,,68,62,363291,31,1,bxqC2vpG,1,329,20.525,1,1
123,C,20,92,75,1,C92,62,44,17453,49,0,6CkFnaLw,1,454,89.1042,2,1
124,S,64,47,90,2,,-5,67,C.A. 33112,19,1,P0Rh9Lvq,1,146,36.75,1,0
125,S,59,6,87,2,,95,79,C.A. 29566,24,0,uP4mr3Eo,0,235,10.5,2,0
126,S,36,39,54,3,,73,27,SOTON/OQ 392089,16,0,FWrDmq6Z,0,221,8.05,2,1
127,C,52,67,44,1,E50,66,21,11765,25,0,Ad8yZbMz,1,371,55.4417,2,1
128,S,35,59,55,3,,84,58,A/4 48871,39,0,cMYCgqFM,0,812,24.15,2,0
129,S,84,14,54,3,,69,66,A/5. 3337,47,0,AR9dCUfA,1,133,14.5,1,0
130,S,17,88,102,1,,25,74,113800,60,0,FQIcSrTb,0,695,26.55,1,0
131,S,6,79,74,2,,38,47,233866,24,0,1NTISzuc,0,865,13,1,0
132,S,25,39,76,1,A32,74,117,113767,,0,J6tTPtF7,0,186,50,1,0
133,S,42,62,42,2,,12,72,11668,27,0,5kKXddMU,1,42,21,1,0
134,C,69,51,62,2,,75,63,SC/PARIS 2146,,0,qFx1zqsq,0,548,13.8625,1,1
135,S,58,31,44,3,,36,66,349249,38,0,aMpU62xn,0,109,7.8958,1,0
136,S,49,9,97,3,,72,61,364511,44,0,qOIIR0x1,0,604,8.05,2,0
137,S,40,28,25,2,,28,20,C.A. 31026,21,0,LmptMdnD,0,57,10.5,2,1
138,S,48,62,46,3,G6,64,42,PP 9549,24,2,oUXcaV7G,0,395,16.7,1,1
139,S,56,61,69,2,,71,35,223596,45,0,4OAzxWjo,0,707,13.5,2,1
140,S,75,93,32,2,,18,37,C.A. 33112,8,1,zcV09JSq,1,550,36.75,2,1
141,S,14,22,95,3,,32,50,349909,8,1,nuNfdAkE,3,25,21.075,2,0
142,S,45,18,16,1,C128,64,41,113510,,0,jDyMr0BX,0,352,35,1,0
143,S,86,64,57,3,E10,91,32,SOTON/O.Q. 392078,32,0,1dujQppg,0,430,8.05,2,1
144,S,-3,79,31,1,E44,62,70,13507,50,0,0xNucUxy,1,435,55.9,1,0
145,S,16,56,22,3,,55,56,A/4. 39886,21,0,padmKmaI,0,52,7.8,2,0
146,S,17,71,36,2,,90,-13,W./C. 14258,50,0,CmzSF3mU,0,527,10.5,2,1
147,S,72,61,27,3,,60,34,STON/O2. 3101290,23,0,F7JF3IHG,0,817,7.925,2,0
148,S,29,76,36,3,,84,16,350417,32,0,i6qtN3wM,0,570,7.8542,2,1
149,Q,57,0,71,3,,103,42,382649,,0,PlXzOyDE,0,265,7.75,1,0
150,S,49,68,42,3,,39,67,W./C. 6608,21,2,8mTn8V3P,2,437,34.375,2,0
151,Q,89,93,49,3,,61,69,370377,,0,X45OwpIE,0,614,7.75,2,0
152,C,34,18,58,3,,-44,19,2672,25,0,qKuPmUyj,0,694,7.225,2,0
153,C,41,35,52,3,,37,100,2695,15,1,4T88SKWv,1,353,7.2292,2,0
154,S,59,73,33,3,,-1,72,345763,31,0,UYutLdcI,1,19,18,2,0
155,S,39,61,18,2,,60,48,234686,25,0,C2DhrKmb,0,667,13,1,0
156,S,89,45,74,2,,94,52,28403,54,0,TKtemqt7,0,583,26,2,0
157,S,16,73,44,1,,89,75,113059,28,0,zVVvFsNH,0,84,47.1,1,0
158,,65,19,71,1,B28,14,82,113572,38,0,MRR1Go7K,0,62,80,2,1
159,S,42,79,54,2,,92,36,250644,41,1,LJODUXtD,0,273,19.5,1,1
160,C,103,52,24,3,,30,62,349239,33,0,CBnM71zz,0,286,8.6625,1,0
161,S,48,57,56,2,,30,55,248731,52,0,nB2oVGFE,0,696,13.5,2,0
162,S,78,90,50,3,,40,62,C.A. 2673,16,1,w0NC8nyW,1,747,20.25,1,0
163,S,38,39,100,3,,59,83,A/5. 2151,20,0,SJTJJH4U,0,13,8.05,1,0
164,S,84,95,86,3,,37,89,347077,9,2,EUCUH1tt,4,183,31.3875,1,0
165,S,38,-6,54,3,,29,89,65306,,0,693vfbNR,0,445,8.1125,2,1
166,Q,49,48,70,3,,-21,54,330979,,0,VPNX7L0D,0,553,7.8292,1,0
167,S,42,44,52,3,,60,47,349234,,0,jBMzyabl,0,224,7.8958,2,0
168,C,45,95,42,1,,73,45,PC 17603,54,0,9VzFrBqC,1,514,59.4,1,1
169,S,43,36,29,3,,6,48,349224,26,0,pHCHt8Tf,0,629,7.8958,1,0
170,C,31,60,18,1,B41,89,31,13567,60,1,wLfgNFrp,1,588,79.2,1,1
171,S,31,85,30,3,,67,48,1601,,0,Fmh3i1WB,0,693,56.4958,1,1
172,C,28,25,70,1,B18,24,74,111361,44,1,wbNzCJVM,0,524,57.9792,2,1
173,S,76,49,58,3,,77,69,STON/O 2. 3101285,20,0,n299v6dy,1,665,7.925,2,1
174,S,86,35,80,3,,70,27,4133,,1,LbqHNquC,3,177,25.4667,1,0
175,S,48,46,84,2,,89,91,S.O./P.P. 3,16,0,bY1NXGj2,0,842,10.5,1,0
176,S,28,24,40,3,,53,54,CA 2144,43,6,0JIKrA8i,1,679,46.9,2,0
177,S,75,35,57,3,,92,46,315093,17,0,CGmI4Npv,0,164,8.6625,1,0
178,S,49,93,9,1,D35,29,34,11751,37,1,FzWjNrna,1,249,52.5542,1,1
179,S,104,36,43,2,,40,32,S.W./PP 752,62,0,HyWvXw7p,0,571,10.5,2,1
180,Q,45,73,45,3,,14,42,382652,8,1,98DxDxI4,4,788,29.125,1,0
181,S,74,63,10,3,,39,50,1601,32,0,bqtyEY9i,0,75,56.4958,1,1
182,S,70,50,33,3,,35,55,4136,20,0,pSiSaby5,1,114,9.825,2,0
183,S,39,102,58,2,,37,58,237668,28,0,vVCywM7S,0,636,13,1,1
184,Q,36,41,19,3,,31,23,364846,21,0,t1SWnHL6,0,502,7.75,1,0
185,S,33,71,89,3,,105,45,3101276,37,0,6HWuYU2v,2,105,7.925,2,0
186,C,79,98,39,3,,65,43,2627,17,0,h7BznISV,0,115,14.4583,1,0
187,Q,31,68,64,3,,56,56,14313,,0,m6lIOZB1,0,369,7.75,2,1
188,S,54,3,101,1,E31,18,49,W.E.P. 5734,46,0,9y5aRMWL,1,93,61.175,2,0
189,S,43,61,28,3,,35,102,C.A. 6212,,0,3qr749CM,0,498,15.1,2,0
190,S,51,70,65,3,,53,76,343275,24,0,7Hv0nlUm,0,90,8.05,1,0
191,S,21,51,72,1,C2,67,-13,113776,29,0,lnfHAHOV,1,337,66.6,2,0
192,C,40,27,63,1,C50,81,46,11767,56,1,fSzowVZ4,0,880,83.1583,2,1
193,C,51,48,61,2,,56,50,S.C./PARIS 2079,31,1,YTDJZQ7k,1,818,37.0042,1,0
194,Q,56,57,42,3,,55,100,367228,,0,OdPhJu6d,0,829,7.75,1,1
195,S,79,40,51,2,,65,18,2908,32,0,lUtvWGKz,1,544,26,1,1
196,S,75,87,47,3,,39,78,363291,33,1,21JU4Y57,1,549,20.525,2,0
197,S,57,42,29,3,,54,48,364500,59,0,ous7iZ2D,0,95,7.25,2,0
198,S,-1,77,58,1,C103,51,36,113783,58,0,EvT4ko8J,0,12,26.55,2,1
199,S,81,70,50,3,,70,62,376564,,0,uwIqDBBh,1,432,16.1,1,1
200,C,49,-21,52,2,,30,65,SC/Paris 2123,3,2,eGPLGEe5,1,44,41.5792,1,1
201,C,25,85,79,3,,81,38,349253,,0,1dsADrcr,0,43,7.8958,1,0
202,C,15,97,68,1,B18,40,8,111361,16,1,KQIx0W2W,0,330,57.9792,2,1
203,S,40,39,30,3,,46,94,347088,45,4,uAlGPzOf,1,168,27.9,1,0
204,S,94,28,76,1,B3,56,38,24160,43,1,qHiTCw3N,0,780,211.3375,2,1
205,C,56,83,39,1,,44,99,PC 17761,30,0,AhOc7vm5,0,538,106.425,2,1
206,S,57,82,32,3,,49,107,54636,28.5,0,z7KPNoID,0,736,16.1,1,0
207,S,41,2,42,3,,100,65,350035,24,0,2zCCkJui,0,500,7.7958,1,0
208,S,39,83,82,2,,46,45,250653,30,0,H6KNgdCx,0,179,13,1,0
209,C,85,76,12,1,A10,65,46,13049,36,0,FADXSWio,0,584,40.125,1,0
210,S,55,45,54,3,,52,40,SOTON/O.Q. 3101312,25,0,k17vlGRm,0,785,7.05,2,0
211,Q,53,78,62,3,,31,30,364848,,2,S5dmf8Qr,0,594,7.75,2,0
212,C,93,74,79,1,C49,22,37,PC 17595,50,0,ligUPZwy,0,178,28.7125,1,0
213,C,71,88,8,3,,1,48,2666,0.75,1,dmGRaQhx,2,645,19.2583,2,1
214,C,47,16,101,1,C90,37,45,PC 17482,24,0,DINj5yMK,0,711,49.5042,1,1
215,S,14,11,25,2,,37,34,220845,24,2,drqohmIU,1,616,65,1,1
216,S,56,60,30,1,,38,31,113789,35,0,kv2W7qLv,1,384,52,1,1
217,S,62,72,94,1,B77,55,61,110152,30,0,qgVNLhXz,0,258,86.5,2,1
218,S,21,1,51,2,,81,59,233639,23,0,CuQJWiAy,0,735,13,1,0
219,S,62,55,42,3,,61,20,349225,,0,GiVD5VS9,0,336,7.8958,1,0
220,S,34,66,88,2,,64,90,244358,27,0,VKLUY1z1,0,552,26,1,0
221,S,47,64,82,2,,52,83,248706,55,0,KR3tguls,0,16,16,2,1
222,S,39,53,91,1,C123,43,35,113803,35,0,Yk94wiKC,1,4,53.1,2,1
223,Q,72,74,59,3,,24,15,394140,,0,spQvKzYw,0,412,6.8583,2,0
224,C,35,30,25,1,,84,60,PC 17585,,0,qdiEG1ry,0,257,79.2,1,1
225,S,5,51,36,3,,28,69,65303,,0,edDcdCeC,1,452,19.9667,2,0
226,C,56,53,55,2,D,39,75,SC/AH Basle 541,23,0,YCiPJ6Ds,0,474,13.7917,1,1
227,Q,52,77,78,3,,44,37,35852,,0,uT3z55rE,0,698,7.7333,1,1
228,C,61,43,59,1,D36,63,62,35273,23,0,tmI8bN77,1,394,113.275,2,1
229,S,63,39,36,3,,41,37,21440,51,0,2Zj2n6xg,0,223,8.05,1,0
230,S,48,84,48,2,,46,38,26360,33,2,VK7VsPpO,0,507,26,2,1
231,S,53,68,64,3,,22,85,349909,29,4,y76XPi3I,0,568,21.075,1,0
232,C,51,48,17,3,,49,77,349254,,0,AKOkOqVi,0,421,7.8958,1,0
233,S,29,68,-8,3,,12,73,CA. 2343,,2,h5DWx6Jj,8,325,69.55,1,0
234,S,24,32,53,2,,30,32,26360,2,1,7p67AvJL,1,531,26,1,1
235,C,46,38,59,2,,46,65,237736,14,0,irq2HhV4,1,10,30.0708,1,1
236,S,44,84,63,2,,63,24,244252,54,0,TZIZ70Oc,1,250,26,2,0
237,Q,40,49,23,3,,52,73,330923,15,0,4VKhdP6w,0,23,8.0292,1,1
238,S,42,14,49,1,E33,62,48,113505,22,1,TlmTwvic,0,357,55,1,1
239,S,52,80,31,2,,84,19,220367,27,0,Hq6QL1uD,0,222,13,2,0
240,S,48,73,56,3,,21,9,349214,,0,T44RMLGM,0,602,7.8958,1,0
241,C,65,34,24,1,,55,78,112379,,0,69vh7dKU,0,767,39.6,1,0
242,C,11,61,20,2,,0,61,P/PP 3381,28,0,e2ziGf66,1,875,24,2,1
243,S,52,105,104,3,,24,34,3101296,39,0,WCZ9kTz4,0,529,7.925,1,0
244,S,12,71,12,2,F2,56,104,230080,2,1,GIaZIPjJ,1,341,26,1,1
245,S,52,12,26,3,,58,44,376566,24,0,RfpeYLKn,1,744,16.1,2,0
246,S,64,63,44,3,,84,58,349242,32,0,pIW4AmhP,0,520,7.8958,2,0
247,C,44,82,54,3,,41,59,2628,45.5,0,WHZoi6BE,0,204,7.225,1,0
248,S,72,81,50,2,,36,8,C.A. 31921,8,2,vadjOkSc,0,238,26.25,1,1
249,S,53,37,46,3,,17,53,C.A. 2315,26,2,r05pDhWG,1,94,20.575,1,0
250,S,-13,56,52,1,B5,111,89,24160,29,0,tQKJ9Jpw,0,731,211.3375,2,1
251,S,43,66,49,2,,49,74,F.C.C. 13529,45,1,Tv9qzoiG,1,441,26.25,2,1
252,S,17,21,33,3,,48,42,345572,36,0,F45wehIq,1,560,17.4,2,1
253,S,47,76,73,1,A19,38,26,113056,,0,JL9n1mJ0,0,285,26,2,0
254,S,77,32,94,3,,22,72,315153,4,2,mnf6oG0j,0,185,22.025,1,1
255,S,63,41,23,2,,94,40,239865,16,0,LcSIpMBL,0,792,26,1,0
256,C,54,15,65,1,B37,56,66,11771,58,0,tt8SoNgv,0,488,29.7,2,0
257,S,29,102,53,3,,12,30,A/5. 851,40.5,2,gF2ajQjZ,0,154,14.5,1,0
258,S,8,98,38,3,F G73,22,29,348123,25,0,D7d4Su3g,0,76,7.65,1,0
259,S,50,49,32,3,,75,52,349223,,0,LvLBBQ0L,0,657,7.8958,2,0
260,S,97,59,91,3,,77,5,347743,51,0,HGGKz8Nl,0,632,7.0542,1,0
261,S,80,46,5,2,,60,36,239853,,0,nkojDn7y,0,278,0,2,0
262,S,73,80,37,3,,41,39,3101281,17,2,VHxXZ10e,4,69,7.925,2,1
263,Q,44,24,32,3,,64,7,368323,,0,W816SWvM,0,826,6.95,1,0
264,Q,47,24,67,3,,80,55,364849,40,1,KUxEwBuZ,1,189,15.5,1,0
265,S,53,54,82,3,,77,38,LINE,25,0,dAMlBXRN,0,272,0,2,1
266,S,21,49,102,1,E58,83,23,5727,47,0,rBULFzVc,0,663,25.5875,2,0
267,S,45,16,109,1,C124,34,19,113028,,0,DmzmsWDQ,0,712,26.55,1,0
268,S,89,37,48,2,,77,57,26707,44,0,OIYhh67N,1,237,26,2,0
269,S,23,77,57,1,C23 C25 C27,70,85,19950,23,2,S7CuVyOL,3,89,263,2,1
270,S,23,12,31,2,,78,53,29108,18,0,gjjPG3Fh,0,758,11.5,1,0
271,S,61,66,25,2,,49,71,11668,29,0,4eKB0TuA,1,118,21,1,0
272,C,47,58,34,3,,36,28,2651,12,0,KZg2V2f1,1,126,11.2417,1,1
273,C,54,1,50,3,,26,43,2699,11,0,TsQBOULa,0,732,18.7875,1,0
274,Q,52,24,29,3,,47,72,370373,22,0,xIX7v0Eh,0,290,7.75,1,1
275,S,59,55,39,2,,74,61,28665,19,0,G3iD5Z0F,0,239,10.5,1,0
276,S,40,49,30,3,,24,43,A/5 21171,22,0,aQFADelt,1,1,7.25,1,0
277,S,16,58,67,3,,45,41,349257,33,0,oV3VjxZb,0,882,7.8958,1,0
278,S,35,30,30,1,,59,57,113792,56,0,7CbHDS8l,0,468,26.55,1,0
279,C,76,59,25,2,,34,84,S.C./PARIS 2079,1,2,zn0eckL3,0,828,37.0042,2,1
280,S,103,46,8,3,,-23,28,350052,22,0,LnpWzysG,0,396,7.7958,2,0
281,C,34,52,62,3,,20,54,2641,,0,dbofQXNx,0,532,7.2292,1,0
282,Q,49,78,47,3,,28,79,370372,,0,BMBah2bt,0,127,7.75,2,0
283,Q,-2,60,25,3,,62,80,382652,7,1,od3dewpa,4,279,29.125,2,0
284,C,69,71,69,3,,98,-6,349256,4,1,9G8IdSSs,0,692,13.4167,2,1
285,Q,15,62,19,3,,38,1,370369,70.5,0,FHTTPwSg,0,117,7.75,2,0
286,S,13,57,11,2,,63,51,236171,18,0,qfXZ6Txv,0,229,13,1,0
287,C,61,39,8,3,,78,51,2653,20,1,R9mm8DN3,1,623,15.7417,2,1
288,S,20,48,42,2,,38,74,S.O.C. 14879,24,0,ISqguIe7,2,656,73.5,2,0
289,C,54,38,53,3,,21,81,2664,,0,EMF78Wvu,0,599,7.225,2,0
290,S,50,82,23,2,F33,32,60,C.A. 34260,34,0,6HYXlU3z,0,517,10.5,1,1
291,Q,46,19,67,3,,45,24,370375,,0,4wsiXC0U,0,275,7.75,2,1
292,S,37,36,19,1,C7,42,67,36928,31,2,KAeHq5yA,0,319,164.8667,2,1
293,S,90,6,43,3,,82,17,349246,30,0,RP7XEpuP,0,607,7.8958,2,0
294,S,50,28,48,2,,70,89,231945,18,0,qDlQCYIi,0,145,11.5,2,0
295,S,37,66,69,3,,40,49,347088,9,2,6WMDYA6R,3,635,27.9,2,0
